source,record_id,title,screening_stage,decision,reason
NCBI GEO DataSets,GSE337702,Mechanical stiffness-promoted tumor tagging to navigate radiopharmaceuticals: Single-cell RNA sequencing revealed the fate of MSC after tumor homing,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE319722,Spatial dynamics links PD-L1 and Tumor-Associated Macrophage–Enriched Niches to Immune and Mesenchymal States in microsatellite stable colorectal cancer,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE310578,A circuit of mechanically regulated transcription factors balances regenerative and fibrotic memory of mesenchymal stromal cells,Title/summary,Excluded at title/summary,Superseries/duplicate representation of modality-specific GSE310514 and GSE310502
NCBI GEO DataSets,GSE310514,A circuit of mechanically regulated transcription factors balances regenerative and fibrotic memory of mesenchymal stromal cells [RNA-seq],Full eligibility assessment,Included in quantitative synthesis,Eligible controlled matrix-stiffness transcriptomic comparison with at least two biological samples per condition
NCBI GEO DataSets,GSE310502,A circuit of mechanically regulated transcription factors balances regenerative and fibrotic memory of mesenchymal stromal cells [ATAC-Seq],Title/summary,Excluded at title/summary,ATAC-seq modality; not transcriptomic expression outcome
NCBI GEO DataSets,GSE319318,Inactivation of CDKN2A-ARF Promotes p53-Independent Remodeling of the PDAC Tumor Microenvironment [RNA-Seq],Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE319313,Inactivation of CDKN2A-ARF Promotes p53-Independent Remodeling of the PDAC Tumor Microenvironment [WES],Title/summary,Excluded at title/summary,Whole-exome sequencing; not a stiffness transcriptomic experiment
NCBI GEO DataSets,GSE274858,Hyaluronic acid networks and emergent tissue mechanics orchestrate mammalian limb regeneration,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE317332,A fully defined protocol and PEG-based platform for probing transcriptional responses to matrix cues in human iPSC-derived intestinal organoids,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE297515,Piezo1-dependent activation of stromal cells ignites muscle inflammation in exercise and injury and is associated with inflammaging,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
NCBI GEO DataSets,GSE314824,Evaluation of Metaplastic Triple-Negative Breast Cancer Extracellular Matrix Structure and Protein Composition,Title/summary,Excluded at title/summary,No eligible MSC extracellular-matrix stiffness transcriptomic comparison
